DOLA Tax Entity Name:,Tax Entity ID:,Certifying County:,2026 Budget Year Total Levy (2025 Tax Year),2026 Budget Year Net Assessed Value (2025 Tax Year)
13th Ave. Station Metropolitan District,66578/1,Adams,0,108810
2000 Holly Metropolitan District,67062/1,Denver,62.642,6538400
2010 1A General,59021/13,Summit,0.765,3562515215
2010 1A Multipurpose,59021/14,Summit,1.138,3562515215
2018 1A General,59021/15,Summit,4.652,3562515215
232 Metropolitan District,66625/1,Weld,50,8529150
25 Commerce Park Metropolitan District,67998/1,Adams,38,176353
29 & D Metropolitan District No. 1,66199/1,Mesa,0,62260
29 & D Metropolitan District No. 2,66200/1,Mesa,0,62260
34 9.5 Metropolitan District,67416/1,Weld,13.962,273417
3rd and Havana Metropolitan District,66833/1,Arapahoe,70.443,599923
4-Way Commercial Metropolitan District,67981/1,El Paso,0,7770
4-Way Ranch Metropolitan District No. 1,65451/1,El Paso,55.573,2505040
40 North Metropolitan District,66992/1,Boulder,0,109732
4201 Arkansas Metropolitan District No. 1,67130/1,Denver,0,5786960
4201 Arkansas Metropolitan District No. 2,67131/1,Denver,0,5786960
800 Hoyt Metropolitan District,66834/1,Broomfield,8,3092612
9th Avenue Metropolitan District No. 1,66728/1,Denver,0,0
9th Avenue Metropolitan District No. 2,66729/1,Denver,42.571,0
9th Avenue Metropolitan District No. 3,66730/1,Denver,14.296,0
ACC Metropolitan District,65204/1,Adams,37,48005760
ATEC Metropolitan District No. 1,67208/1,Adams,37.962,209460
ATEC Metropolitan District No. 2,67209/1,Adams,37.962,1630980
Aberdeen Metropolitan District No. 1,65180/1,Adams,66,7699950
Aberdeen Metropolitan District No. 2,65181/1,Adams,79.611,1678950
Aberdeen Metropolitan District No. 2 - Bond,65181/2,Adams,10.282,10980
Abilene Station Metropolitan District No. 1,65793/1,Arapahoe,40,3897610
Abilene Station Metropolitan District No. 2,65794/1,Arapahoe,0,135
Academy 20 School District,21907/1,El Paso,45.459,3168367940
Academy Water & Sanitation District,21001/1,El Paso,2.877,13620700
Access 25 Metropolitan District No. 1,67675/1,Weld,38,11456880
Access 25 Metropolitan District No. 2,67676/1,Weld,40.813,20321850
Access 25 Metropolitan District No. 3,67677/1,Weld,40.049,64110
Access 25 Metropolitan District No. 4,67678/1,Weld,40.511,246710
Access 25 Metropolitan District No. 5,67679/1,Weld,37.171,5840
Access 25 Metropolitan District No. 6,67680/1,Weld,37.152,9870
Adams 12 Five Star Schools,01901/1,Adams,70.956,3618046330
Adams 12 Five Star Schools,01901/1,Broomfield,70.956,863881021
Adams County,01001/1,Adams,27.479,13407154911
Adams County 14,01902/1,Adams,47.396,1436818206
Adams County Fire Protection District,64101/1,Adams,17.27,1889303606
Adams County Fire Protection District,64101/1,Denver,17.27,13971320
Adams Crossing Metropolitan District No. 1,66309/1,Adams,0,10
Adams Crossing Metropolitan District No. 2,66310/1,Adams,0,10
Adams Crossing Metropolitan District No. 3,66311/1,Adams,0,10
Adams Crossing Metropolitan District No. 4,66312/1,Adams,0,10
Adams Crossing Metropolitan District No. 5,66313/1,Adams,0,10
Adams Crossing Metropolitan District No. 6,66314/1,Adams,0,10
Adams Crossing Metropolitan District No. 7,66315/1,Adams,0,2047
Adams Crossing Metropolitan District No. 8,66316/1,Adams,0,10
Adams East Metropolitan District,66251/1,Adams,45,19023880
Adams-Arapahoe 28J School District,64907/1,Adams,73.186,2688958381
Adams-Arapahoe 28J School District,64907/1,Arapahoe,73.186,3414552405
Adonea Metropolitan District No. 1,65213/1,Arapahoe,0,0
Adonea Metropolitan District No. 2,65214/1,Arapahoe,50.804,37296714
Aerotropolis Area Coordinating Metropolitan District,65316/1,Adams,0,40
Aerotropolis Regional Transportation Authority,66863/1,Adams,5,220600400
Affordable Housing,16002/12,Denver,0.398,25445395933
Affordable Housing,57010/13,San Miguel,0.5,1553350990
Agate 300 School District,20905/1,Elbert,21.871,33923210
Agate Conservation District,64208/1,Arapahoe,0,137590
Agate Conservation District,64208/1,Elbert,0,33712090
Agate Conservation District,64208/1,Lincoln,0,925528
Agate Fire Protection District,66179/1,Elbert,8,21007290
Aguilar,36001/1,Las Animas,11.511,3442324
Aguilar Reorganized 6 School District,36903/1,Las Animas,18.086,54924374
Aims Community College,64001/1,Adams,6.313,7410184
Aims Community College,64001/1,Broomfield,6.313,1854910
Aims Community College,64001/1,Larimer,2.514,1818000
Aims Community College,64001/1,Logan,6.313,909535
Aims Community College,64001/1,Morgan,6.313,23320
Aims Community College,64001/1,Weld,6.313,17018611622
Airpark North Metropolitan District No. 1,67364/1,Larimer,38.357,94
Airpark North Metropolitan District No. 2,67365/1,Larimer,37.591,5770
Airpark North Metropolitan District No. 3,67366/1,Larimer,37.591,2918272
Airpark North Metropolitan District No. 4,67367/1,Larimer,37.591,1542890
Airport,02001/11,Alamosa,0,0
Airport,06001/8,Bent,0,0
Airport,08003/9,Chaffee,0,0
Airport,22013/7,Fremont,0.321,721445106
Airport,23005/8,Garfield,0,0
Airport,25009/8,Grand,0,0
Airport,42017/5,Montezuma,0,0
Airport Commerce Center Metropolitan District,66170/1,Eagle,35,7566390
Airport Vista Metropolitan District No. 1,66001/1,Douglas,0,10
Airport Vista Metropolitan District No. 2,66002/1,Douglas,16.111,63110
Airways Business Center Metro. District,65205/1,Adams,3,28168690
Akron,61002/1,Washington,60.537,15608044
Akron R-1 School District,61900/1,Washington,35.239,57484954
Akron Rural Fire Protection District,61001/1,Washington,2.3,30427967
Alameda Corridor B.I.D.,65161/1,Jefferson,5.72,77667120
Alameda Water & Sanitation District,30001/1,Jefferson,7,214643230
Alamosa,02003/1,Alamosa,6.7,107799629
Alamosa County,02001/1,Alamosa,25.238,234186523
Alamosa County Ambulance District,02012/1,Alamosa,2.798,231412497
Alamosa County Fire Protection District,64002/1,Alamosa,5.43,120703308
Alamosa County Fire Protection District,64002/1,Saguache,5.43,843044
Alamosa County Weed Control District,02011/1,Alamosa,1.004,20100979
Alamosa Mosquito Control District,02002/1,Alamosa,5.013,160844593
Alamosa RE-11J School District,64904/1,Alamosa,32.131,192010441
Alamosa RE-11J School District,64904/1,Conejos,32.131,3545304
Alamosa-La Jara Water Conservancy District,64003/1,Alamosa,1.142,1336982
Alamosa-La Jara Water Conservancy District,64003/1,Conejos,1.154,21715537
Alamosa-La Jara Water Conservancy District,64003/1,Rio Grande,1.142,1411203
Alexander Way Metropolitan District,68268/1,Douglas,0,0
Allenspark Fire Protection District,64004/1,Boulder,7.605,53203243
Allenspark Fire Protection District,64004/1,Larimer,7.605,9231791
Allenspark Water & Sanitation District,07001/1,Boulder,4.23,3721612
Allison Valley Metropolitan District No. 1,65703/1,El Paso,48.256,18056890
Allison Valley Metropolitan District No. 2,65704/1,El Paso,50.618,29153460
Alma,47001/1,Park,14.356,10378384
Alpensee Water District,59042/1,Summit,39.55,6142810
Alpha-Rockridge Metropolitan District,04015/1,Archuleta,10,12360660
Alpine Meadows Metropolitan District No. 1,66112/1,Weld,45,286000
Alpine Metropolitan District,65154/1,Summit,0,24000
Alpine Mountain Ranch Metropolitan District,65762/1,Routt,10.866,34896850
AltaColorado Metropolitan District No. 1,66106/1,Lake,0,270
AltaColorado Metropolitan District No. 2,66107/1,Lake,0,120010
AltaColorado Metropolitan District No. 3,66108/1,Lake,0,280
AltaColorado Metropolitan District No. 4,66109/1,Lake,0,280
AltaColorado Metropolitan District No. 5,66110/1,Lake,0,280
Altamira Metropolitan District No. 1,65409/1,Weld,55,10
Altamira Metropolitan District No. 2,65410/1,Weld,0,10
Altamira Metropolitan District No. 3,65411/1,Weld,0,10
Altamira Metropolitan District No. 4,65412/1,Weld,0,10
Altamira Metropolitan District No. 5,65413/1,Weld,68.07,51028770
Amber Creek Metropolitan District,65433/1,Adams,43.452,29239580
Ambulance,06001/7,Bent,0,0
Ambulance,09002/9,Cheyenne,0.07,142933345
Ambulance,24005/10,Gilpin,0,0
Ambulance,25009/7,Grand,3.75,1532110628
Ambulance,32011/8,Kit Carson,1,261155715
Ambulance,33001/9,Lake,2.099,357183687
Ambulance,46005/6,Ouray,2.006,324186540
Amherst General Improvement District,01053/1,Adams,0,23956540
Andiamo Metropolitan District,67582/1,Pueblo,50,65180
Andrews Farm Metropolitan District No. 1,66967/1,Weld,67.081,5023020
Andrews Farm Metropolitan District No. 2,66968/1,Weld,0,0
Animal Shelter,08003/10,Chaffee,0.5,911879410
Animal Shelter Debt,51010/12,Pueblo,0,0
Animal Shelter Trust,10003/11,Clear Creek,0,0
Animas Mosquito Control District,34002/1,La Plata,1.277,986973050
Animas-La Plata Water Conservancy District,34003/1,La Plata,0.322,1232847590
Antelope Heights Metropolitan District,65098/1,Douglas,43.5,23330820
"Antelope Hills General Improvement District, Town of Bennett, CO",64265/1,Arapahoe,36.71,8347732
Antelope Water System G.I.D.,65427/1,Arapahoe,20.754,7965981
Anthem West Metropolitan District,65055/1,Broomfield,19.95,176959040
Anthology West Metropolitan District No. 2,18054/1,Douglas,44.461,3406630
Anthology West Metropolitan District No. 2 - Debt Service,18054/2,Douglas,0,0
Anthology West Metropolitan District No. 3,65336/1,Douglas,47.678,1640
Anthology West Metropolitan District No. 4,66681/1,Douglas,44.493,13138100
Anthology West Metropolitan District No. 4 - Debt Service 4596,66681/2,Douglas,0,0
Anthology West Metropolitan District No. 5,66682/1,Douglas,47.678,7994640
Anthology West Metropolitan District No. 6,66683/1,Douglas,0,240
Anthology West Metropolitan District No. 6 - Debt Service,66683/2,Douglas,0,0
Antler Creek Metropolitan District,68213/1,El Paso,0,0
Antonito,11001/1,Conejos,11.633,4690466
Apex Park and Recreation District,30138/1,Jefferson,4.393,2811935105
Apex Park and Recreation District - Ex 15,30138/5,Broomfield,0,0
Apex Park and Recreation District - Ex 15,30138/5,Denver,0,0
Apex Park and Recreation District - Ex 15,30138/5,Jefferson,0,0
Apex Park and Recreation District - Ex 16,30138/6,Broomfield,0,0
Apex Park and Recreation District - Ex 16,30138/6,Denver,0,0
Apex Park and Recreation District - Ex 16,30138/6,Jefferson,0,0
Appletree Metropolitan District No. 1,65692/1,El Paso,0,1890
Appletree Metropolitan District No. 2,65693/1,El Paso,0,1890
Applewood Sanitation District,30002/1,Jefferson,1.959,109523274
Arabian Acres Metropolitan District,65097/1,Teller,21,8166040
Arapahoe Cemetery District,09001/1,Cheyenne,0.114,40417995
Arapahoe County,03001/1,Arapahoe,16.959,16458062704
Arapahoe County Law Enforcement Authority,03002/1,Arapahoe,4.982,2609748882
Arapahoe County Recreation District,03117/1,Arapahoe,0.593,2207299592
Arapahoe County Water and Wastewater Public Improvement District,65137/1,Arapahoe,7.5,1043034257
Arapahoe County Water and Wastewater Public Improvement District,65137/1,Douglas,7.5,111651050
Arapahoe Lake Public Park District,03006/1,Arapahoe,20.38,12844238
Arapahoe Library District,64005/1,Adams,5.719,5188250
Arapahoe Library District,64005/1,Arapahoe,5.719,8873579089
Archuleta County,04001/1,Archuleta,14.809,609310586
Archuleta County 50 JT School District,64909/1,Archuleta,28.82,629210556
Archuleta County 50 JT School District,64909/1,Hinsdale,28.82,5218850
Arickaree R-2 School District,61901/1,Washington,27.036,33142371
Arikaree Groundwater Management District,64006/1,Kit Carson,0.264,33829454
Arikaree Groundwater Management District,64006/1,Lincoln,0.264,50123142
Arikaree Groundwater Management District,64006/1,Washington,0.264,23028751
Arikaree Groundwater Management District,64006/1,Yuma,0.264,36259860
Arista Metropolitan District,65119/1,Broomfield,80.711,5028116
Arkansas Valley Ambulance District,67020/1,Fremont,6.001,44591349
Arriba,37002/1,Lincoln,14.509,1579752
Arriba Cemetery District,37001/1,Lincoln,0.327,15116522
Arriba-Flagler C-20 School District,64928/1,Kit Carson,27.008,38374987
Arriba-Flagler C-20 School District,64928/1,Lincoln,27.008,15392232
Arriola Cemetery District,42001/1,Montezuma,0.969,12475400
Arrowhead Colorado Metropolitan District,68084/1,Douglas,10.333,834030
Arrowhead Fire Protection District,65850/1,Gunnison,4.518,18691480
Arrowhead Metropolitan District,19001/1,Eagle,10.074,215346160
Arrowhead Metropolitan District - Debt Service,19001/2,Eagle,0,109840
Artesia Fire Protection District,41001/1,Moffat,7.805,3779846
Arvada,64009/1,Adams,4.31,79560970
Arvada,64009/1,Jefferson,4.31,2308288698
Arvada Fire Prot,30003/1,Jefferson,16.411,3185545560
Arvada Urban Renewal Authority - Jefferson Center Urban Renewal Plan,64008/2,Jefferson,0,0
Arvada Urban Renewal Authority - Northwest Arvada Urban Renewal Plan,64008/6,Jefferson,0,0
Arvada Urban Renewal Authority - Olde Town Station Urban Renewal Plan,64008/4,Jefferson,0,0
Arvada Urban Renewal Authority - Ralston Fields Urban Renewal Plan,64008/3,Jefferson,0,0
Arvada Urban Renewal Authority - Village Commons Urban Renewal Plan,64008/5,Jefferson,0,0
Arvada West Town Center Business Improvement District,65131/1,Jefferson,30.482,6407784
Ash Meadows Metropolitan District,66487/1,Adams,103.152,1540450
Ash Park and Recreation District,67669/1,Weld,60,756140
Aspen,49006/1,Pitkin,4.335,2837242790
Aspen 1 School District,49901/1,Pitkin,9.042,5700488250
Aspen Ambulance District,49005/1,Pitkin,1.1,4369763810
Aspen Business Park Metropolitan District,67705/1,Arapahoe,0,70
Aspen Consolidated Sanitation District,49002/1,Pitkin,0.059,3739580620
Aspen Fire Protection District,49001/1,Pitkin,2.463,4341875630
Aspen Grove Business Improvement District,03164/1,Arapahoe,0,20627789
Aspen Grove Business Improvement District - Bonds,03164/2,Arapahoe,0,5851518
Aspen Highlands Commercial Metropolitan District,49032/1,Pitkin,32.47,9116490
Aspen Highlands Residential Metropolitan District,49033/1,Pitkin,30.535,73556010
Aspen Hills Metropolitan District,65085/1,Adams,52.191,4101380
Aspen Historic Park & Rec. District,65493/1,Pitkin,0.3,5193711360
Aspen Park Metropolitan District,65099/1,Jefferson,66.851,6047258
Aspen Park Metropolitan District - Ex 06,65099/2,Jefferson,26.851,189
Aspen Reserve Metropolitan District,66678/1,Adams,51,5945890
Aspen Springs Metropolitan District,04002/1,Archuleta,14.647,32431015
Aspen Street Metropolitan District,67065/1,Broomfield,74.266,3766330
Aspen Trails Metropolitan District,65199/1,La Plata,5,4020490
Aspen Valley Hospital District,49004/1,Pitkin,2.08,5502226200
Aspen Village Metropolitan District,65198/1,Pitkin,86.834,6529380
Assisted Living,31004/8,Kiowa,3.82,42768801
Ault,62003/1,Weld,6.741,45081850
Ault Fire Protection District,62001/1,Weld,7.266,456262960
Ault-Highland RE-9 School District,62913/1,Weld,34.176,670461960
Aurora,64010/1,Adams,7.087,2803846171
Aurora,64010/1,Arapahoe,7.087,5778916841
Aurora,64010/1,Douglas,7.087,101630810
Aurora Centretech Metropolitan District,03095/1,Arapahoe,39.148,55466545
Aurora Conference Center General Improvement District (2-2011),66439/1,Adams,40,7096095
Aurora Crossroads Metropolitan District No. 1,66003/1,Arapahoe,10.74,41250441
Aurora Crossroads Metropolitan District No. 2,66004/1,Arapahoe,65.517,33957144
Aurora Crossroads Metropolitan District No. 2 - Bond,66004/2,Arapahoe,54.777,41250006
Aurora High Point at DIA Metropolitan District,65438/1,Adams,0,2860
Aurora Highlands Metropolitan District No. 1,65317/1,Adams,85.146,56478320
Aurora Highlands Metropolitan District No. 2,65318/1,Adams,75.475,40
Aurora Highlands Metropolitan District No. 3,65319/1,Adams,67.031,824030
Aurora Highlands Metropolitan District No. 4,67712/1,Adams,75.556,18960
Aurora Highlands Metropolitan District No. 5,67713/1,Adams,75.555,34480
Aurora Highlands Metropolitan District No. 6,01042/1,Adams,75.555,15043810
Aurora Single Tree Metropolitan District,01074/1,Adams,33.1,16083250
Aurora Urban Renewal Authority,64161/1,Adams,0,0
Aurora Urban Renewal Authority - Alameda Center Urban Renewal Plan Area,64161/15,Arapahoe,0,807942
Aurora Urban Renewal Authority - Aurora City Center II Urban Renewal Plan Area 2,64161/16,Arapahoe,0,446031
Aurora Urban Renewal Authority - Aurora City Center II Urban Renewal Plan Area 3,64161/17,Arapahoe,0,110893
Aurora Urban Renewal Authority - Aurora City Center II Urban Renewal Plan Area 4,64161/18,Arapahoe,0,233507
Aurora Urban Renewal Authority - Aurora City Center Plan Area 1,64161/6,Adams,0,0
Aurora Urban Renewal Authority - Aurora City Center Plan Area 1,64161/6,Arapahoe,0,1292623
Aurora Urban Renewal Authority - Aurora Conference Center Urban Renewal Plan Area,64161/26,Adams,0,0
Aurora Urban Renewal Authority - Aurora Conference Center Urban Renewal Plan Area,64161/26,Arapahoe,0,0
Aurora Urban Renewal Authority - Buckingham Tax Increment #1,64161/3,Adams,0,0
Aurora Urban Renewal Authority - Buckingham Tax Increment #1,64161/3,Arapahoe,0,4621117
Aurora Urban Renewal Authority - Buckingham Tax Increment #2,64161/4,Adams,0,0
Aurora Urban Renewal Authority - Buckingham Tax Increment #2,64161/4,Arapahoe,0,654600
Aurora Urban Renewal Authority - Buckingham Tax Increment #3,64161/8,Adams,0,0
Aurora Urban Renewal Authority - Buckingham Tax Increment #3,64161/8,Arapahoe,0,1001436
Aurora Urban Renewal Authority - Colorado Science and Technology Park,64161/5,Adams,0,0
Aurora Urban Renewal Authority - Colorado Science and Technology Park Urban Renewal Plan A,64161/31,Adams,0,0
Aurora Urban Renewal Authority - Colorado Science and Technology Park Urban Renewal Plan A,64161/31,Arapahoe,0,0
Aurora Urban Renewal Authority - Fitzsimons Gateway A Urban Renewal Plan Area,64161/24,Arapahoe,0,651671
Aurora Urban Renewal Authority - Fitzsimons Gateway B Urban Renewal Plan Area,64161/25,Arapahoe,0,164995
Aurora Urban Renewal Authority - Fitzsimons II Plan Area 1,64161/10,Arapahoe,0,0
Aurora Urban Renewal Authority - Fitzsimons II Plan Area 2,64161/11,Arapahoe,0,0
Aurora Urban Renewal Authority - Fitzsimons II Plan Area 3,64161/12,Arapahoe,0,0
Aurora Urban Renewal Authority - Fitzsimons II Plan Area 4,64161/13,Arapahoe,0,0
Aurora Urban Renewal Authority - Fitzsimons Tax Increment,64161/2,Adams,0,0
Aurora Urban Renewal Authority - Fitzsimons Tax Increment,64161/2,Arapahoe,0,4181936
Aurora Urban Renewal Authority - Fletcher Plaza Urban Renewal Plan Area 1,64161/20,Arapahoe,0,437114
Aurora Urban Renewal Authority - Fletcher Plaza Urban Renewal Plan Area 2,64161/21,Arapahoe,0,0
Aurora Urban Renewal Authority - Fletcher Plaza Urban Renewal Plan Area 3,64161/22,Arapahoe,0,7874
Aurora Urban Renewal Authority - Fletcher Plaza Urban Renewal Plan Area 4,64161/23,Arapahoe,0,0
Aurora Urban Renewal Authority - Havana North Urban Renewal Plan Area 2,64161/19,Arapahoe,0,589198
Aurora Urban Renewal Authority - Horizon Uptown Plan Area,64161/7,Adams,0,0
Aurora Urban Renewal Authority - Horizon Uptown Plan Area,64161/7,Arapahoe,0,47882
Aurora Urban Renewal Authority - Iliff Station Tax Increment Plan Area 1,64161/9,Arapahoe,0,567448
Aurora Urban Renewal Authority - Iliff Station Tax Increment Plan Area 2,64161/14,Arapahoe,0,1486054
Aurora Urban Renewal Authority - Westerly Creek Village Tax Increment Plan Area 1,64161/28,Adams,0,0
Aurora Urban Renewal Authority - Westerly Creek Village Tax Increment Plan Area 1,64161/28,Arapahoe,0,0
Aurora Urban Renewal Authority - Westerly Creek Village Tax Increment Plan Area 2,64161/30,Adams,0,0
Aurora Urban Renewal Authority - Westerly Creek Village Tax Increment Plan Area 2,64161/30,Arapahoe,0,0
Aurora Urban Renewal Authority - Westerly Creek Village Tax Increment Plan Area 3,64161/27,Adams,0,0
Aurora Urban Renewal Authority - Westerly Creek Village Tax Increment Plan Area 3,64161/27,Arapahoe,0,0
Aurora Urban Renewal Authority - Westerly Creek Village Tax Increment Plan Area 4,64161/29,Adams,0,0
Aurora Urban Renewal Authority - Westerly Creek Village Tax Increment Plan Area 4,64161/29,Arapahoe,0,0
Avenues Metropolitan District No. 1,65768/1,Arapahoe,0,788038
Avenues Metropolitan District No. 2,65769/1,Arapahoe,0,788038
Avenues Metropolitan District No. 3,65770/1,Arapahoe,0,788038
Avenues Metropolitan District No. 4,65771/1,Arapahoe,0,788038
Avenues Metropolitan District No. 5,65772/1,Arapahoe,0,788038
Aviation Station North Metropolitan District No. 1,66399/1,Denver,0,6250
Aviation Station North Metropolitan District No. 2,66400/1,Denver,62.74,13214850
Aviation Station North Metropolitan District No. 3,66401/1,Denver,68.918,14780550
Aviation Station North Metropolitan District No. 4,66402/1,Denver,13,460
Aviation Station North Metropolitan District No. 5,66403/1,Denver,10,4509880
Aviation Station North Metropolitan District No. 6,66404/1,Denver,0,0
Avion Metropolitan District,66743/1,Denver,105.694,20921810
Avon,19003/1,Eagle,8.956,353252490
Avon Downtown Development Authority,67949/1,Eagle,0,111535740
Avon Station Metropolitan District,19062/1,Eagle,55.005,26712110
Avon Station Metropolitan District - Debt Service,19062/2,Eagle,32.005,1175590
Avon Urban Renewal Authority,65827/1,Eagle,0,76567470
Avondale Water & Sanitation District,51001/1,Pueblo,10.641,6658240
BBC Metropolitan District,65121/1,Broomfield,59.235,16496010
BMR Metropolitan District,18064/1,Douglas,0,0
BNC Metropolitan District No. 1,01093/1,Adams,96.59,16490890
BNC Metropolitan District No. 2,65208/1,Adams,90.482,13003810
BNC Metropolitan District No. 2 - Bond,65208/2,Adams,62.457,2947930
BNC Metropolitan District No. 2 - Subdistrict No. 1,68212/1,Adams,0,0
BNC Metropolitan District No. 3,65209/1,Adams,97.29,3169290
Baca County,05001/1,Baca,33.812,120605894
Baca County Pest Control District,65293/1,Baca,1.597,39887667
Baca Grande Water & Sanitation District,55001/1,Saguache,46.25,24225617
Bachelor Gulch Metropolitan District,19053/1,Eagle,2.152,243835920
Bailey Water & Sanitation District,47002/1,Park,25.392,5541492
Ballpark Denver General Improvement District,68094/1,Denver,5,211139200
Bancroft-Clover Water & Sanitation District,30004/1,Jefferson,1.003,679520464
Bandera Blvd. Special Impr. Maint. Dist.,65290/1,Pueblo,5,9637670
Banning Lewis Ranch Metro. District #1,65486/1,El Paso,0,770
Banning Lewis Ranch Metro. District #2,65487/1,El Paso,46.469,29515790
Banning Lewis Ranch Metro. District #3,65488/1,El Paso,39.471,30217120
Banning Lewis Ranch Metro. District #4,65489/1,El Paso,63.631,37656540
Banning Lewis Ranch Metro. District #5,65490/1,El Paso,62.47,17025850
Banning Lewis Ranch Metropolitan District No. 10,67099/1,El Paso,0,770
Banning Lewis Ranch Metropolitan District No. 11,67100/1,El Paso,0,770
Banning Lewis Ranch Metropolitan District No. 8,67097/1,El Paso,61.321,15568270
Banning Lewis Ranch Metropolitan District No. 9,67098/1,El Paso,0,770
Banning Lewis Ranch Regional Metropolitan District No. 1,65491/1,El Paso,12.019,114845620
Banning Lewis Ranch Regional Metropolitan District No. 2,65492/1,El Paso,11.415,15849680
Barnes & Powers North B.I.D.,65274/1,El Paso,54.777,9160070
Barnes & Powers South B.I.D.,65275/1,El Paso,11.136,4742380
Barnes Center Metropolitan District,67019/1,El Paso,44.012,3186860
Basalt,64017/1,Eagle,8.702,257549580
Basalt,64017/1,Pitkin,8.702,96810810
Basalt & Rural Fire Protection District,64013/1,Eagle,12.268,473973270
Basalt & Rural Fire Protection District,64013/1,Pitkin,12.268,263089400
Basalt Regional Library District,64014/1,Eagle,3.119,473973270
Basalt Regional Library District,64014/1,Pitkin,3.131,307415620
Basalt Sanitation District,64015/1,Eagle,0,92770380
Basalt Sanitation District,64015/1,Pitkin,0,0
Basalt Water Conservancy District,64016/1,Eagle,0.023,455912680
Basalt Water Conservancy District,64016/1,Garfield,0.023,429068830
Basalt Water Conservancy District,64016/1,Pitkin,0.023,533408240
Base Village Metropolitan District No. 1,65345/1,Pitkin,43.5,6693080
Base Village Metropolitan District No. 2,65346/1,Pitkin,46.468,93658140
Baseline Metropolitan District No. 1,66334/1,Broomfield,0,5100
Baseline Metropolitan District No. 2,65054/1,Broomfield,48.331,47424
Baseline Metropolitan District No. 3,65056/1,Broomfield,56.706,41093
Baseline Metropolitan District No. 4,66889/1,Broomfield,16.111,3396796
Baseline Metropolitan District No. 5,67381/1,Broomfield,15,50
Baseline Metropolitan District No. 6,67382/1,Broomfield,45,50
Baseline Metropolitan District No. 7,67383/1,Broomfield,50,50
Baseline Metropolitan District No. 8,67384/1,Broomfield,45,50
Baseline Metropolitan District No. 9,67385/1,Broomfield,50,50
Baseline Water District,07002/1,Boulder,1.483,12568843
Battle North Metropolitan District No. 1,68127/1,Eagle,0,240
Battle North Metropolitan District No. 2,68128/1,Eagle,0,490
Battle North Metropolitan District No. 3,68129/1,Eagle,0,510
Battle North Metropolitan District No. 4,68130/1,Eagle,0,570
Battlement Mesa Metropolitan District,23030/1,Garfield,0,0
Battlement Mesa Metropolitan District,23032/1,Garfield,0,39749800
Bayfield,34005/1,La Plata,5.95,53657710
Bayfield 10 JT.-R School District,64930/1,Archuleta,32.651,1196400
Bayfield 10 JT.-R School District,64930/1,La Plata,32.651,282588130
Beacon Point Metropolitan District,65138/1,Arapahoe,64.612,45296412
Bear Creek Water & San,30005/1,Jefferson,4.159,258601043
Bear Ridge Metropolitan District,67785/1,Douglas,0,1002310
Beaver Brook Water and Sanitation District,10015/1,Clear Creek,0,0
Beaver Creek Metro,19004/1,Eagle,20.395,507333900
Beaver Creek Metropolitan District-Debt 099,19004/2,Eagle,0,0
Beebe Draw Farms Metropolitan District No. 1,62082/1,Weld,40,9560770
Beebe Draw Farms Metropolitan District No. 1 - Bond 2018,62082/2,Weld,0,0
Beebe Draw Farms Metropolitan District No. 2,62113/1,Weld,50,51256810
Beebe Draw Farms Metropolitan District No. 2 - Cap Pledge 2051,62113/2,Weld,12.596,1703120
Beebe Draw Farms Metropolitan District No. 2 - Cap Pledge 2055,62113/3,Weld,12.455,2243240
Beebe Draw Law Enforcement Authority,62083/1,Weld,7,9024220
Belford North Metropolitan District,66888/1,Douglas,82.702,862610
Belford South Metropolitan District,66709/1,Douglas,86.64,11626170
Bella Mesa Metropolitan District,65300/1,Douglas,77.131,7096820
Belle Creek Metropolitan District No. 1,01082/1,Adams,62,26534740
Belleview Place Metropolitan District,66920/1,Arapahoe,136.999,3123374
Belleview Station Metropolitan District No. 1,65521/1,Denver,0,30
Belleview Station Metropolitan District No. 2,65522/1,Denver,33,119953440
Belleview Station Metropolitan District No. 3,65523/1,Denver,0,30
Belleview Village Metropolitan District,66731/1,Jefferson,88.689,4382299
Bellyache Ridge Metropolitan District,19005/1,Eagle,20.25,8637010
Bend @ Lakewood Metropolitan District,68244/1,Jefferson,0,0
Bennett,64258/1,Adams,11.33,80356200
Bennett,64258/1,Arapahoe,11.33,9001069
Bennett 29J School District,64902/1,Adams,25.38,328048329
Bennett 29J School District,64902/1,Arapahoe,25.38,527339339
Bennett Bear Creek Farm Water & Sanitation District,30008/1,Jefferson,1.884,30653443
Bennett Crossing Metropolitan District No. 1,66713/1,Adams,77.495,8013810
Bennett Crossing Metropolitan District No. 2,66714/1,Adams,44.04,12163080
Bennett Crossing Metropolitan District No. 3,66715/1,Adams,53.703,63670
Bennett Farms Metropolitan District No. 1,67791/1,Adams,0,10
Bennett Farms Metropolitan District No. 2,67792/1,Adams,0,10
Bennett Farms Metropolitan District No. 3,67793/1,Adams,0,10
Bennett Farms Metropolitan District No. 4,67794/1,Adams,0,10
Bennett Farms Metropolitan District No. 5,67795/1,Adams,0,10
Bennett Farms Metropolitan District No. 6,67796/1,Adams,0,10
Bennett Fire Protection District,64018/1,Adams,10.898,346872550
Bennett Fire Protection District,64018/1,Arapahoe,10.898,558345405
Bennett North Metropolitan District No. 1,67707/1,Adams,0,30
Bennett North Metropolitan District No. 2,67708/1,Adams,0,30
Bennett North Metropolitan District No. 3,67709/1,Adams,0,30
Bennett North Metropolitan District No. 4,67710/1,Adams,0,30
