Local Government Name:,Website URL:,Mailing Address:,Alternate Address:,Mailing City:,Mailing State:,Mailing Zip:,LGID:,Local Government Type:,County:
Access 25 Metropolitan District No. 1,www.access25md.live,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,67675,Metropolitan Districts,Weld
Access 25 Metropolitan District No. 2,www.access25md.live,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,67676,Metropolitan Districts,Weld
Access 25 Metropolitan District No. 3,www.access25md.live,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,67677,Metropolitan Districts,Weld
Access 25 Metropolitan District No. 4,www.access25md.live,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,67678,Metropolitan Districts,Weld
Access 25 Metropolitan District No. 5,www.access25md.live,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,67679,Metropolitan Districts,Weld
Access 25 Metropolitan District No. 6,www.access25md.live,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,67680,Metropolitan Districts,Weld
Adams 12 Five Star Schools,www.adams12.org,1500 E 128th Avenue,,Thornton,CO,80241,01901,School Districts,"Broomfield, Adams"
Adams County,adcogov.org,4430 South Adams County Parkway,,Brighton,CO,80601,01001,Counties,Adams
Adams County 14 School District,www.adams14.org,5291 East 60th Avenue,,Commerce City,CO,80022,01902,School Districts,Adams
Adams County Board of Cooperative Educational Services,www.aboces.org/,1400 W. 122nd Avenue,Suite 110,Westminster,CO,80234,66263,Boards of Cooperative (Educational) Services (BOCES),"Broomfield, Denver, Weld, Adams"
Adams County Communications Center Authority,www.adcom911.org,7321 Birch Street,,Commerce City,CO,80022,67260,Intergovernmental Authorities (separate legal entity),Adams
Adams County E-911 Emergency Telephone Service Authority,adams911.colorado.gov/,1801California St Ste 2700,,Denver,CO,80202,64248,Emergency Telephone Service (911 Authorities),"Denver, Boulder, Weld, Adams, Arapahoe, Elbert, Jefferson"
Adams County Fire Protection District,www.acfpd.org,8055 North Washington Street,,Denver,CO,80229,64101,Fire Protection Districts,"Denver, Adams"
Adams County Housing Authority,,"3033 W. 71st Avenue, Suite 1000",,Westminster,CO,80030,01020,County Housing Authorities,Adams
Adams Crossing Metropolitan District No. 1,adamscrossingmd.com,"2154 E Commons Avenue, Ste 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,66309,Metropolitan Districts,Adams
